"年別","月份","國家名稱","飛機_松山","飛機_桃園","飛機_臺中","飛機_高雄","飛機_其他","輪船_基隆","輪船_臺中","輪船_高雄","輪船_蘇澳","輪船_花蓮","輪船_金門","輪船_馬祖","輪船_其他","小計"
"Years","Months","Countries","Air. SongShan","Air. Taoyuan","Air. Taichung","Air. Kaohsiung","Air. Others","Sea. Keelung","Sea. Taichung","Sea. Kaohsiung","Sea. Suao","Sea. Hualien","Sea. Kinmem","Sea. Matsu","Sea. Others","Subtotals"
"98","2","香港(Hong Kong)","0","155636","11030","34514","0","0","0","0","0","0","0","0","0","201180"
"98","2","中國大陸(Mainland China)","20255","54367","838","2131","0","0","0","0","0","0","0","0","0","77591"
"98","2","澳門(Macao)","0","47543","0","17010","0","0","0","0","0","0","0","0","0","64553"
"98","2","蒙古(Mongolia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","越南(Vietnam)","0","15195","1988","4820","0","0","0","0","0","0","0","0","0","22003"
"98","2","泰國(Thailand)","0","12098","0","2447","0","0","0","0","0","0","0","0","0","14545"
"98","2","馬來西亞(Malaysia)","0","8068","0","1183","0","0","0","0","0","0","0","0","0","9251"
"98","2","新加坡(Singapore)","0","10512","0","713","0","0","0","0","0","0","0","0","0","11225"
"98","2","菲律賓(Philippines)","0","5302","0","1952","0","0","0","0","0","0","0","0","0","7254"
"98","2","汶萊(Brunei)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","印尼(Indonesia)","0","10192","0","659","0","0","0","0","0","0","0","0","0","10851"
"98","2","柬埔寨(Cambodia)","0","3921","0","37","0","0","0","0","0","0","0","0","0","3958"
"98","2","寮國(Laos)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","帝汶(Timor)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","緬甸(Myanmar)","0","683","0","25","0","0","0","0","0","0","0","0","0","708"
"98","2","索羅門群島(Solomon Islands)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","吐瓦魯(Tuvalu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","印度(India)","0","1100","0","20","0","0","0","0","0","0","0","0","0","1120"
"98","2","巴基斯坦(Pakistan)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","斯里蘭卡(Sri Lanka)","0","240","0","0","0","0","0","0","0","0","0","0","0","240"
"98","2","孟加拉(Bangladesh)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","尼泊爾(Nepal)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","不丹(Bhutan )","0","88","0","0","0","0","0","0","0","0","0","0","0","88"
"98","2","馬爾地夫(Maldives)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","塞席爾(Seychelles)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","吉里巴斯(Kiribati)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","伊朗(Iran)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","伊拉克(Iraq)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","巴林(Bahrain)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","南葉門(South Yemen)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","沙烏地阿拉伯(Saudi Arabia)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","科威特(Kuwait)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","卡達(Qatar)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","阿曼(Oman)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","以色列(Israel)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","約旦(Jordan)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","敘利亞(Syria)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","黎巴嫩(Lebanon)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","阿拉伯聯合大公國(United Arab Emirates)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","葉門(Yemen)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","土耳其(TURKEY)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","賽普勒斯(Cyprus)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","阿富汗(觀光)(Afghanistan)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","埃及(Egypt)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
